"","TF","target","importance"
"405","JUNB","HSPA1A",10.1082130376102
"406","ETS1","SYNE2",10.102550826481
"407","FOSL2","JUNB",10.0880605340385
"408","SATB1","SORL1",10.0819606288373
"409","JUNB","CITED2",10.064647923326
"410","ETS1","SERF2",10.0465958403778
"411","ETS1","OST4",10.0435553926958
"412","KLF2","IRF1",10.0382642177695
"413","JUNB","SARAF",10.0001995633254
"414","BATF","BIRC3",9.97277514200148
"415","JUNB","TSC22D3",9.96842370667943
"416","KLF2","HSP90AB1",9.96578906824731
"417","ETS1","OAZ1",9.9259119055973
"418","ETS1","IQGAP1",9.92500168502862
"419","KLF6","SRGN",9.89933815063341
"420","ETS1","MT.ATP6",9.88399754904834
"421","ETS1","TAGLN2",9.87859880534525
"422","STAT1","HLA.C",9.86614929228335
"423","KLF6","RPS16",9.84768106562187
"424","KLF2","MT2A",9.84632778976069
"425","KLF2","JUND",9.84575911486541
"426","KLF2","MT.ATP6",9.84152563863059
"427","ETS1","KLF6",9.83857289688136
"428","KLF2","NKG7",9.82907849679501
"429","CREM","SRGN",9.82799938886611
"430","JUNB","VIM",9.80473008006527
"431","PRDM1","ZFP36",9.77081840568125
"432","RELA","OGFRL1",9.74188134758903
"433","JUND","GNAI2",9.71337047830917
"434","SMARCC2","PRPS1",9.70418476768654
"435","JUND","RPL7",9.69615601910842
"436","CREM","ZFP36",9.69449457993266
"437","ETS1","FTH1",9.69143538157871
"438","ETS1","COTL1",9.67436700123979
"439","STAT1","PFN1",9.66884506854453
"440","ETS1","HLA.B",9.66283086110024
"441","KLF2","CALM1",9.65789182753729
"442","FOSB","GLTSCR2",9.64778227379544
"443","ETS1","NAP1L1",9.64369175168862
"444","KLF2","CD52",9.62917578458344
"445","JUN","PNRC1",9.61355173447413
"446","JUN","MT.ATP8",9.59169825102165
"447","FOXP3","HLA.DRA",9.58156549956401
"448","FOS","CCL5",9.57420532516984
"449","HINFP","PPIA",9.5622696403816
"450","HCFC1","UBE2K",9.51828372866986
"451","JUNB","UBB",9.51685592970532
"452","ETS1","PIK3IP1",9.51281903018126
"453","ETS1","RPL36",9.50659025475607
"454","JUND","PTPRC",9.497590318303
"455","KLF2","S1PR1",9.49398105186011
"456","KLF6","RPSA",9.4894088101774
"457","JUN","RPLP2",9.4789876044165
"458","JUND","NCL",9.47536906769724
"459","KLF2","AHNAK",9.46692547255218
"460","RUNX3","NACA",9.45404364118919
